key,en,bp,es,pt,de,fr,it,cs,pl,ru,ja,ko,TR,zh-CN,zh-TW,nl,el,no,ro,sv,uk,bg,da,fi,hu
Splash_Headphones,For the best and most immersive experience please use Headphones and in game voice chat.,"Para uma melhor imersão e experiência, por favor use Fones de Ouvido e o canal de voz dentro do jogo.",Para disfrutar de una mayor inmersión le recomendamos que utilice auriculares y el chat de voz incorporado con el juego.,"Para uma melhor imersão e experiência, por favor use Fones de Ouvido e o canal de voz dentro do jogo.","Für die beste und intensivste Erfahrung nutzen Sie bitte Kopfhörer und in Spiel Voice-Chat.
",Pour une meilleure expérience immersive s'il vous plaît utilisée un casque et le chat vocal en jeu.,"Per una migliore e più coinvolgente esperienza, si prega di utilizzare le cuffie e la chat vocale di gioco.","
Za maximální zážitek doporučujeme použít sluchátka a komunikovat přes hru.",Dla najlepszych i najbardziej wciągających doświadczeń należy użyć słuchawki i w gry rozmów głosowych.,"Для наиболее полного погружения в атмосферу игры, используйте наушники и внутриигровой голосовой чат.",最良かつ最も没入体験のためにヘッドフォンを使用してゲームボイスチャットでください。,몰입도를 높이기 위해 헤드폰 및 음성 채팅 사용을 권장합니다.,Daha iyi bir oyun tecrübesi için kulaklık ve mikrofon kullanın.,请戴上耳机并使用游戏内的语音功能以获得最佳的游戏体验。,請戴上耳機並使用遊戲內的語音功能以獲得最佳的遊戲體驗。,Voor de beste meeslepende ervaring gebruik een koptelefoon en praat in het spel.,Για την καλύτερη και πιο συναρπαστική εμπειρία χρησιμοποιήστε ακουστικά και στο παιχνίδι voice chat.,For den beste og mest fengslende opplevelse vennligst bruk hodetelefoner og i spillet stemmechat.,Pentru cea mai bună și cea mai captivantă experiență vă rugăm să folosiți căști și în jocul de voce de chat.,För bästa och mest uppslukande upplevelse använd hörlurar och spelröstchatt.,"За кращим і самим захоплюючим досвідом, будь ласка, використовуйте навушники і в ігровому голосовому чаті.",За най-добър и най-завладяващо преживяване моля използвайте слушалки и в игра гласов чат.,For den beste oplevelse brug høretelefoner og voice chat  ,Saat parhaan ja immersiivisimmän kokemuksen käyttämällä kuulokkeita sekä pelin sisäistä äänikeskustelua,A legjobb és leginkább magával ragadó élményt kérjük használjon fejhallgatót és játék hang chat.
Splash_VoiceRecognition,Phasmophobia uses voice recognition. Please set your default windows microphone to the microphone you want to use.,"Phasmophobia utiliza do reconhecimento de voz. Por favor, ajuste o microfone padrão desejado.","Phasmophobia hace uso del reconocimiento de voz. Por favor, configure el micrófono predeterminado de Windows ya que este será usado en el juego.","Phasmophobia utiliza do reconhecimento de voz. Por favor, ajuste o microfone padrão desejado.","Phasmophobia benutzt Spracherkennung. Bitte legen Sie das Mikrofon als Standart in Windows fest, das Sie benutzen möchten.",Phasmophobia utilise un système de reconnaissance vocale. S'il vous plaît veuillez définir votre périphérique de communication par défaut sur le microphone que vous voulez utiliser,Phasmophobia utilizza il riconoscimento vocale. Si prega di impostare il microfono che si desidera utilizzare.,"Hra Phasmophobia používá rozpoznávání hlasu. Nastavte výchozí mikrofon systému Windows na mikrofon, který chete použít.","Phasmophobia wykorzystuje rozpoznawanie głosu. Proszę ustawić mikrofon domyślne okna na mikrofon, którego chcesz użyć.","Игра использует распознавание речи. В настройках Windows, установите нужный микрофон по умолчанию.",Phasmophobiaは、音声認識を使用しています。使用するマイクにあなたのデフォルトのウィンドウのマイクを設定してください。,Phasmophobia는 음성 인식을 사용합니다. 사용하려는 기본 마이크를 설정하십시오.,Phasmophobia ses tanıma kullanır. Bunun için windowstan konuşma ayarlarınızı ingilizce olarak düzenlemelisiniz.,Phasmophobia使用语音识别功能。请将您的默认Windows麦克风设置你想要使用的麦克风。,Phasmophobia使用語音辨識功能。請將您的預設Windows麥克風設置你想要使用的麥克風。,Phasmophobia maakt gebruik van spraakherkenning. Stel uw standaard windows microfoon aan op de microfoon die u wilt gebruiken.,Phasmophobia χρησιμοποιεί την αναγνώριση φωνής. Παρακαλούμε να ορίσετε την προεπιλεγμένη τα παράθυρά σας μικρόφωνο στο μικρόφωνο που θέλετε να χρησιμοποιήσετε.,Phasmophobia bruker stemmegjenkjenning. Vennligst angi standard Windows mikrofon i mikrofon du ønsker å bruke.,Phasmophobia utilizează recunoașterea vocii. Vă rugăm să setați microfonul ferestre implicit la microfon pe care doriți să îl utilizați.,Phasmophobia använder röstigenkänning. Vänligen ange din standard Windows mikrofon till mikrofon du vill använda.,"Phasmophobia використовує розпізнавання голосу. Будь ласка, встановіть мікрофон вікна за замовчуванням до мікрофона ви хочете використовувати.","Phasmophobia използва за разпознаване на глас. Моля, задайте прозорци подразбиране микрофон до микрофона, който искате да използвате.","Phasmophobia bruger stemmegenkendelse. Venligst indstille din standard-vinduer mikrofon til mikrofon, du vil bruge.",Phasmophobia käyttää äänentunnistusta. Säädä windowsin olutus mikrofoni siihen mitä haluat käyttää,"Phasmophobia használ hangfelismerés. Kérjük, állítsa be az alapértelmezett windows azt a mikrofon a használni kívánt."
Menu_ServerLobby,Play,Jogar,Jugar,Toque,Spielen,Jouer,Gioca,Začít hrát,Graj,Играть,ゲームを始める,플레이,Oyna,开始游戏,開始遊戲,Spelen,Παίξε,Spille,Joaca,Spela,грати,Играй,Spil,Pelaa,Játék
Menu_Tutorial,Training,Treinamento,Entrenamiento,Treinamento,Training,Entrainement,Addestramento,Výcvik,Trening,Обучение,トレーニング,튜토리얼,Eğitim,训练,訓練,Training,Εκπαίδευση,Opplæring,Instruire,Träning,навчання,обучение,Traning,Harjoittele,Kiképzés
Menu_Store,Item Store,Loja,Tienda,Loja,Ausrüstung kaufen,Magasin d'article,Negozio,Položky z obchodu,Sklep z Rzeczami,Магазин,アイテムのストア,장비 상점,Ekipman Mağazası,物品商店,物品商店,Voorwerpen Winkel,Κατάστημα Αντικειμένων ,Sak butikken,articol Magazin,Butik,пункт магазин,Точка Store,Vare butik,Kauppa,Store
Menu_Options,Options,Opções,Opciones,Opções,Optionen,options,Opzioni,Možnosti,Opcje,Параметры,オプション,옵션,Seçenekler,选项,選項,Opties,Ρυθμίσεις,alternativer,Opțiuni,Inställningar,опції,Настроики,Indstillinger ,Asetukset,Lehetőségek
Menu_QuitGame,Quit Game,Sair,Salir del juego,Sair do jogo,Spiel verlassen,Quitter le jeu,Abbandona,Ukončit hru,Opuść Grę,Выйти из игры,ゲームをやめる,게임 종료,Oyundan çık,退出游戏,退出遊戲,Spel Beëindiging,Έξοδος,Avslutt spill,Părăsește jocul,Avsluta spelet,Вийти з гри,Напусни играта,Afslut spil,Lopeta peli,Kilépni a játékból
Menu_Experience,EXP Needed,EXP Necessária,EXP necesaria,EXP Necessária,Benötigte EXP,EXP nécessaire,EXP necessaria,Nutné EXP,Potrzebne EXP,До следующего уровня:,必要な経験,남은 경험치,Gereken Tecrübe (exp),所需经验,所需經驗,EXP Nodig,Εμπειρία Που Απαιτείται,EXP Needed,EXP necesare,EXP behövs,EXP Необхідна,EXP Нужда,Brug for EXP,Tarvittava EXP,EXP szükséges
Menu_Stats,Stats,Estatísticas,Estadísticas,Estatísticas,Informationen,Statistiques,Statistiche,Statistiky,Statystyki,Статистика,統計,진척도,İstatistikler,统计,統計,Statistieken,Στατιστικά,Statistikk,Statistici,Statistik,Статистика,Статистика,Stats,Tilastot,statisztikák
Menu_DailyChallenges,Daily Challenges,Desafios diários,Desafíos diarios,Desafios diários,Tägliche Herausforderungen,Les défis quotidiens,Sfide giornaliere,Denní výzvy,Codzienne wyzwania,Ежедневные задания,毎日の挑戦,일일 미션,Günlük Görevler,每日挑战,每日挑戰,Dagelijkse uitdagingen,Ημερήσιες Προκλήσεις,Daglige utfordringer,Provocari zilnice,Dagliga utmaningar,Щоденні проблеми,Ежедневните предизвикателства,Daglige udfordringer,Päivittäiset haasteet,Napi kihívások
Menu_Money,Money,Dinheiro,Dinero,Dinheiro,Geld,Argent,Soldi,Peníze,pieniądze,Деньги,お金,돈,Para,金钱,金錢,Geld,Χρήματα,Penger,Bani,Pengar,гроші,Пари,Penge,Raha,Pénz
Menu_LanguageTitle,Select Language,Selecione o idioma,Seleccione el idioma,Selecione o idioma,Sprache auswählen,Choisir la langue,Seleziona la tua lingua,Zvolte jazyk,Wybierz język,Язык,言語を選択する,언어 선택,Dil Seçin,选择语言,選擇語言,Taal Selecteren,Επιλέξτε Γλώσσα,Velg språk,Selecteaza limba,Välj språk,Оберіть мову,Избери език,Vælg sprog,Valitse kieli,Válasszon nyelvet
