key,en,bp,es,pt,de,fr,it,cs,pl,ru,ja,ko,TR,zh-CN,zh-TW,nl,el,no,ro,sv,uk,bg,fi,hu,da
Splash_Headphones,For the best and most immersive experience please use Headphones and in game voice chat.,"Para uma melhor imersão e experiência, por favor use Fones de Ouvido e o canal de voz dentro do jogo.","Para experimentar la mayor inmersión, por favor, utiliza auriculares y el chat de voz integrado en el juego.","Para a melhor e mais envolvente experiência, por favor, use Fones de Ouvido e o canal de voz no jogo.",Für die beste und intensivste Erfahrung nutzen Sie bitte Kopfhörer und den In-Game Sprachchat.,"Pour une meilleure expérience immersive, nous vous recommandons d'utiliser un casque et le chat vocal en jeu.",Per un'esperienza migliore e più coinvolgente utilizza le cuffie e la chat vocale di gioco.,"
Pro maximální a všepohlcující zážitek doporučujeme použít sluchátka a zabudovaný hlasový chat.","Dla uzyskania najlepszych i najbardziej wciągających wrażeń, zalecamy używać słuchawek i czatu głosowego w grze.","Для погружения в атмосферу игры, используйте наушники и внутриигровой голосовой чат.","より臨場感を高める為に、
ヘッドフォンとゲーム内ボイスチャットの使用を推奨しています",몰입도를 높이기 위해 헤드폰 및 음성 채팅 사용을 권장합니다.,Daha iyi bir oyun tecrübesi için kulaklık ve mikrofon kullanın.,"请戴上耳机并使用游戏内的语音功能
以获得最佳的游戏体验。","請戴上耳機並使用遊戲內的語音功能
以獲得最佳的遊戲體驗。
（翻譯轉自簡體中文，未必完全正確）","Voor de beste en meest meeslepende ervaring, Gebruik een koptelefoon en praat in het spel.","Για την καλύτερη και πιο εντυπωσιακή εμπειρία, χρησιμοποιήστε ακουστικά και στο παιχνίδι φωνής παιχνιδιών.","For den beste opplevelsen av spillet, bruk hodetelefoner og den innebygde voicechat","Pentru cea mai plăcută și captivantă experiență, este recomandată folosirea căștilor și a voice chat-ului integrat.",För bäst upplevelse använd hörlurar och spel röstchatt,"Для найкращого ігрового досвіду, використовуйте навушники та внутрішньо ігровий голосовий чат.","За най-доброто и завладяващо изживяване, използвайте слушалки и в игралния гласов чат.",Käyttämällä kuulokkeita saat parhaan ja mukaansatempaavimman pelikokemuksen,A legjobb és leginkább magával ragadó élmény érdekében használd a fejhallgatód és a játékon belüli csevegést.,For den beste oplevelse brug høretelefoner og brug mikrofonen i spillet.
Splash_VoiceRecognition,Phasmophobia uses voice recognition. Please set your default windows microphone to the microphone you want to use.,"Phasmophobia utiliza do reconhecimento de voz. Por favor, ajuste o microfone padrão desejado.","
Phasmophobia utiliza el reconocimiento de voz. 
Por favor, asigna tu micrófono predeterminado de Windows al micrófono que quieres utilizar.","Phasmophobia usa reconhecimento de voz. Por favor, defina o microfone padrão do windows para o microfone que deseja usar.","Phasmophobia benutzt Spracherkennung. Bitte legen Sie das Mikrofon als Standard in Windows fest, das Sie benutzen möchten.",Phasmophobia utilise la reconnaissance vocale. Définissez votre périph. de communication par défaut sur le microphone que vous utilisez.,Phasmophobia utilizza il riconoscimento vocale. Imposta il microfono principale di Windows come microfono che vuoi usare.,"Hra Phasmophobia používá rozpoznávání hlasu. Nastavte výchozí mikrofon systému Windows na mikrofon, který chcete použít.","Phasmophobia wykorzystuje system rozpoznawania głosu. Ustaw domyślny mikrofon systemu Windows na mikrofon, którego chcesz używać.",Примечание: распознавание речи теперь доступно и на русском языке.,"本作は音声認識機能を使用しています
Windows内で使用しているマイクを設定してください",Phasmophobia는 음성 인식을 사용합니다. 사용하려는 기본 마이크를 설정하십시오.,Phasmophobia ses tanıma kullanır. Bunun için windowstan konuşma ayarlarınızı ingilizce olarak ayarlamalısınız.,"Phasmophobia使用语音识别功能。
请将您的默认Windows麦克风
设置你想要使用的麦克风。","Phasmophobia使用語音辨識功能。
請將您的預設Windows麥克風
設置你想要使用的麥克風。",Phasmophobia maakt gebruik van spraakherkenning. Stel uw standaard Windows-microfoon in op de microfoon die u wilt gebruiken.,Το Phasmophobia χρησιμοποιεί αναγνώριση φωνής. Ορίστε το προεπιλεγμένο μικρόφωνο Windows στο μικρόφωνο που θέλετε να χρησιμοποιήσετε.,Phasmophobia bruker stemmestyring. Pass på at du har satt opp rett mikrofon.,Phasmophobia folosește recunoaștere vocală. Vă rugăm folosiți microfonul dvs. implicit.,Phasmophobia använder röstigenkänning. Ställ in din standard Windows-mikrofon på den mikrofon du vill använda.,Примітка: розпізнавання мовлення доступне українською мовою.,"Phasmophobia използва гласово разпознаване. Моля, задайте вашия микрофон по подразбиране, който искате да използвате.",Phasmophobia käyttää äänentunnistusta. Muista vaihtaa windowsin oletusmikrofonisi käyttämääsi mikrofoniin,"A Phasmophobia beszédfelismerést használ. Kérlek állítsd be Windows alapértelmezettként azt a mikrofont, amelyiket használni szeretnéd.",Phasmophobia bruger stemme genkendelse. Venligst sæt din standard Windows mikrofon til den mikrofon du vil bruge.
Menu_ServerLobby,Play,Jogar,Jugar,Jogar,Spielen,Jouer,Gioca,Začít hrát,Graj,Играть,プレイ,게임 시작,Oyna,开始游戏,開始遊戲,Spelen,Παίξε,Spill,Joacă,Spela,Грати,Играта,Pelaa,Játék,Spil
Menu_Tutorial,Training,Treinamento,Entrenamiento,Treino,Training,Entraînement,Addestramento,Výcvik,Trening,Обучение,トレーニング,튜토리얼,Eğitim,训练,訓練,Training,Εκπαίδευση,Opplæring,Instruire,Träning,Навчання,Обучение,Harjoittele,Kiképzés,Træning
Menu_Store,Item Store,Loja,Tienda,Loja,Ausrüstung kaufen,Magasin,Negozio,Obchod,Sklep,Магазин,ストア,장비 상점,Ekipman Mağazası,物品商店,物品商店,Uitrusting winkel,Κατάστημα Αντικειμένων ,Butikk,Magazin de echipament,Butik,Магазин,Магазин,Kauppa,Felszerelésbolt,Vare butik
Menu_Options,Options,Opções,Opciones,Opções,Optionen,Options,Opzioni,Možnosti,Opcje,Параметры,設定,옵션,Seçenekler,选项,選項,Opties,Ρυθμίσεις,Alternativer,Opțiuni,Inställningar,Налаштування,Настройки,Asetukset,Beállítások,Indstillinger 
Menu_QuitGame,Quit Game,Sair,Salir del juego,Sair do Jogo,Spiel verlassen,Quitter le jeu,Esci,Ukončit hru,Opuść grę,Выйти из игры,終了,게임 종료,Oyundan Çık,退出游戏,退出遊戲,Spel sluiten,Έξοδος,Avslutt Spillet,Părăsește jocul,Avsluta Spelet,Вийти з гри,Напусни,Lopeta peli,Kilépés,Afslut spil
Menu_Experience,EXP Needed,EXP Necessária,Experiencia necesaria,EXP Necessária,Benötigte EXP,Exp nécessaire,EXP Necessaria,Potřebné EXP,Następny poziom,До следующего уровня:,必要経験値,남은 경험치,Gereken Tecrübe (exp),升级所需经验,升級所需經驗,EXP nodig ,Εμπειρία Που Απαιτείται,EXP Mangler,Puncte de experiență necesare,EXP behövs,Необхідно досвіду,Нужно EXP,Vaadittava EXP,Következő szinthez,Mangledne EXP
Menu_PlayerStats,Player Stats,Estatísticas do Jogador,Estadísticas del jugador,Estatísticas do Jogador,Spieler-Statistik,Statistiques du joueur,Statistiche Giocatore,Statistiky hráče,Statystyki gracza,Статистика игрока,プレイヤーステータス,플레이어 통계,Oyuncu istatistikleri,玩家数据,玩家數據,Spelersstatistieken,Στατιστικά παίκτη,Spiller Statestikk,Statisticile jucătorului,Spelarstatistik,Статистика гравця,Статистика на играча,Pelaajan tilastot,Játékos statisztikái,Spiller Statistik
Menu_Stats,Stats,Estatísticas,Estadísticas,Estatísticas,Informationen,Statistiques,Statistiche,Statistiky,Statystyki,Статистика,ステータス,진척도,İstatistikler,统计,統計,Statistieken,Στατιστικά,Status,Statistici,Statistik,Статистика,Статистика,Tilastot,Statisztikák,Statistik
